sample_hap_chrom	sample_hap	sample	hap	chrom	start	end	len	project	gapless	CL	filterflag
C048-CHA-N08#Mat#chr1	C048-CHA-N08_Mat	C048-CHA-N08	Mat	chr1	121775496	145965081	24189585	APG	1	250436536	0
C049-CHA-N09#Mat#chr1	C049-CHA-N09_Mat	C049-CHA-N09	Mat	chr1	121850660	142829410	20978750	APG	1	247281451	0
C050-CHA-N10#Mat#chr1	C050-CHA-N10_Mat	C050-CHA-N10	Mat	chr1	121457651	142407012	20949361	APG	1	246734094	0
C051-CHA-N11#Mat#chr1	C051-CHA-N11_Mat	C051-CHA-N11	Mat	chr1	121948605	143459266	21510661	APG	1	248738592	0
C052-CHA-N12#Mat#chr1	C052-CHA-N12_Mat	C052-CHA-N12	Mat	chr1	121610880	138867387	17256507	APG	1	243242563	0
C053-CHA-N13#Mat#chr1	C053-CHA-N13_Mat	C053-CHA-N13	Mat	chr1	121695342	137051900	15356558	APG	1	241449501	0
C054-CHA-N14#Mat#chr1	C054-CHA-N14_Mat	C054-CHA-N14	Mat	chr1	121730711	141042865	19312154	APG	1	245662099	0
C055-CHA-N15#Mat#chr1	C055-CHA-N15_Mat	C055-CHA-N15	Mat	chr1	122146816	150367418	28220602	APG	1	254769252	0
C056-CHA-N16#Mat#chr1	C056-CHA-N16_Mat	C056-CHA-N16	Mat	chr1	121822964	145464732	23641768	APG	1	249887880	0
C057-CHA-N17#Mat#chr1	C057-CHA-N17_Mat	C057-CHA-N17	Mat	chr1	121782887	140950436	19167549	APG	1	245226727	0
C058-CHA-N18#Mat#chr1	C058-CHA-N18_Mat	C058-CHA-N18	Mat	chr1	121816016	138486822	16670806	APG	1	243185164	0
C059-CHA-N19#Mat#chr1	C059-CHA-N19_Mat	C059-CHA-N19	Mat	chr1	122050860	146953243	24902383	APG	1	251474279	0
C060-CHA-N20#Mat#chr1	C060-CHA-N20_Mat	C060-CHA-N20	Mat	chr1	121853230	144073896	22220666	APG	1	248522320	0
C061-CHA-NE01#Mat#chr1	C061-CHA-NE01_Mat	C061-CHA-NE01	Mat	chr1	121831931	136959843	15127912	APG	1	241295336	0
C062-CHA-NE02#Mat#chr1	C062-CHA-NE02_Mat	C062-CHA-NE02	Mat	chr1	121943895	139060702	17116807	APG	1	244337389	0
C063-CHA-NE03#Mat#chr1	C063-CHA-NE03_Mat	C063-CHA-NE03	Mat	chr1	121765007	140037961	18272954	APG	1	244452948	0
C064-CHA-NE04#Mat#chr1	C064-CHA-NE04_Mat	C064-CHA-NE04	Mat	chr1	122046410	145881538	23835128	APG	1	250254619	0
C065-CHA-NE05#Mat#chr1	C065-CHA-NE05_Mat	C065-CHA-NE05	Mat	chr1	121848837	140170168	18321331	APG	1	244517502	0
C066-CHA-NE06#Mat#chr1	C066-CHA-NE06_Mat	C066-CHA-NE06	Mat	chr1	121503093	141151514	19648421	APG	0	245540040	1
C067-CHA-NE07#Mat#chr1	C067-CHA-NE07_Mat	C067-CHA-NE07	Mat	chr1	122057323	137580711	15523388	APG	1	241821361	0
C068-CHA-NE08#Mat#chr1	C068-CHA-NE08_Mat	C068-CHA-NE08	Mat	chr1	120906967	150985978	30079011	APG	1	255367845	0
C069-CHA-NE09#Mat#chr1	C069-CHA-NE09_Mat	C069-CHA-NE09	Mat	chr1	122130313	150914519	28784206	APG	1	255829520	0
C070-CHA-NE10#Mat#chr1	C070-CHA-NE10_Mat	C070-CHA-NE10	Mat	chr1	121882617	144831393	22948776	APG	0	249209562	1
C071-CHA-NE11#Mat#chr1	C071-CHA-NE11_Mat	C071-CHA-NE11	Mat	chr1	122329375	142600278	20270903	APG	1	246852015	0
C072-CHA-NE12#Mat#chr1	C072-CHA-NE12_Mat	C072-CHA-NE12	Mat	chr1	121903297	143725725	21822428	APG	1	248215673	0
C073-CHA-NE13#Mat#chr1	C073-CHA-NE13_Mat	C073-CHA-NE13	Mat	chr1	122176606	149471678	27295072	APG	1	253988526	0
C074-CHA-NE14#Mat#chr1	C074-CHA-NE14_Mat	C074-CHA-NE14	Mat	chr1	121819717	145138539	23318822	APG	1	249462572	0
C075-CHA-NE15#Mat#chr1	C075-CHA-NE15_Mat	C075-CHA-NE15	Mat	chr1	122128534	139706441	17577907	APG	1	244169298	0
C076-CHA-NE16#Mat#chr1	C076-CHA-NE16_Mat	C076-CHA-NE16	Mat	chr1	122258398	151284339	29025941	APG	1	255817025	0
C077-CHA-NE17#Mat#chr1	C077-CHA-NE17_Mat	C077-CHA-NE17	Mat	chr1	122142703	141666609	19523906	APG	1	246049296	0
C078-CHA-NE18#Mat#chr1	C078-CHA-NE18_Mat	C078-CHA-NE18	Mat	chr1	122579994	140184135	17604141	APG	0	244522522	1
C079-CHA-NE19#Mat#chr1	C079-CHA-NE19_Mat	C079-CHA-NE19	Mat	chr1	121658895	135043993	13385098	APG	1	239615643	0
C080-CHA-NE20#Mat#chr1	C080-CHA-NE20_Mat	C080-CHA-NE20	Mat	chr1	121782626	146680422	24897796	APG	1	251172955	0
C081-CHA-C01#Mat#chr1	C081-CHA-C01_Mat	C081-CHA-C01	Mat	chr1	121785143	144123984	22338841	APG	1	248552767	0
C082-CHA-C02#Mat#chr1	C082-CHA-C02_Mat	C082-CHA-C02	Mat	chr1	121708964	142206474	20497510	APG	1	246746178	0
C083-CHA-C03#Mat#chr1	C083-CHA-C03_Mat	C083-CHA-C03	Mat	chr1	121454999	143184475	21729476	APG	1	247782749	0
C084-CHA-C04#Mat#chr1	C084-CHA-C04_Mat	C084-CHA-C04	Mat	chr1	121687123	137625672	15938549	APG	1	242195646	0
C085-CHA-C05#Mat#chr1	C085-CHA-C05_Mat	C085-CHA-C05	Mat	chr1	121872263	141064812	19192549	APG	0	245413792	1
C086-CHA-C06#Mat#chr1	C086-CHA-C06_Mat	C086-CHA-C06	Mat	chr1	121845306	139297167	17451861	APG	0	243595315	1
C087-CHA-C07#Mat#chr1	C087-CHA-C07_Mat	C087-CHA-C07	Mat	chr1	121930070	146220101	24290031	APG	1	250616962	0
C088-CHA-C08#Mat#chr1	C088-CHA-C08_Mat	C088-CHA-C08	Mat	chr1	121965519	139769390	17803871	APG	1	244112011	0
C089-CHA-C09#Mat#chr1	C089-CHA-C09_Mat	C089-CHA-C09	Mat	chr1	121959852	141341137	19381285	APG	1	245768255	0
C090-CHA-C10#Mat#chr1	C090-CHA-C10_Mat	C090-CHA-C10	Mat	chr1	122186514	139594623	17408109	APG	1	244020863	0
C091-CHA-C11#Mat#chr1	C091-CHA-C11_Mat	C091-CHA-C11	Mat	chr1	121863465	141278020	19414555	APG	1	245719814	0
C092-CHA-C12#Mat#chr1	C092-CHA-C12_Mat	C092-CHA-C12	Mat	chr1	121984819	147020459	25035640	APG	1	251489669	0
C093-CHA-C13#Mat#chr1	C093-CHA-C13_Mat	C093-CHA-C13	Mat	chr1	121575150	142703369	21128219	APG	1	246939827	0
C094-CHA-C14#Mat#chr1	C094-CHA-C14_Mat	C094-CHA-C14	Mat	chr1	122089846	144314878	22225032	APG	1	248690240	0
C095-CHA-C15#Mat#chr1	C095-CHA-C15_Mat	C095-CHA-C15	Mat	chr1	121767988	145199333	23431345	APG	1	249761085	0
C096-CHA-C16#Mat#chr1	C096-CHA-C16_Mat	C096-CHA-C16	Mat	chr1	122176045	143542675	21366630	APG	1	247930750	0
C097-CHA-C17#Mat#chr1	C097-CHA-C17_Mat	C097-CHA-C17	Mat	chr1	121715704	140169268	18453564	APG	1	244822875	0
C098-CHA-C18#Mat#chr1	C098-CHA-C18_Mat	C098-CHA-C18	Mat	chr1	121850547	140713672	18863125	APG	1	245021825	0
C099-CHA-C19#Mat#chr1	C099-CHA-C19_Mat	C099-CHA-C19	Mat	chr1	121778748	143464674	21685926	APG	1	247884345	0
C100-CHA-C20#Mat#chr1	C100-CHA-C20_Mat	C100-CHA-C20	Mat	chr1	121879442	140320162	18440720	APG	1	244629289	0
C101-CZA01#Mat#chr1	C101-CZA01_Mat	C101-CZA01	Mat	chr1	121866391	143592755	21726364	APG	0	247913678	1
C102-CZA02#Mat#chr1	C102-CZA02_Mat	C102-CZA02	Mat	chr1	121858514	142040345	20181831	APG	1	246612865	0
C103-CZA03#Mat#chr1	C103-CZA03_Mat	C103-CZA03	Mat	chr1	121941530	145858701	23917171	APG	1	250299957	0
C104-CZA04#Mat#chr1	C104-CZA04_Mat	C104-CZA04	Mat	chr1	121805748	144327566	22521818	APG	0	248881591	1
C105-CZA05#Mat#chr1	C105-CZA05_Mat	C105-CZA05	Mat	chr1	121604736	143218691	21613955	APG	1	247605574	0
C106-CZA06#Mat#chr1	C106-CZA06_Mat	C106-CZA06	Mat	chr1	121386082	145675547	24289465	APG	1	250332798	0
C107-CZA07#Mat#chr1	C107-CZA07_Mat	C107-CZA07	Mat	chr1	122041274	140649135	18607861	APG	1	245079427	0
C108-CZA08#Mat#chr1	C108-CZA08_Mat	C108-CZA08	Mat	chr1	122336891	155685406	33348515	APG	1	260134584	0
C109-CUG01#Mat#chr1	C109-CUG01_Mat	C109-CUG01	Mat	chr1	121727572	147272892	25545320	APG	1	251485817	0
C110-CUG02#Mat#chr1	C110-CUG02_Mat	C110-CUG02	Mat	chr1	121812627	151863861	30051234	APG	1	256332636	0
C111-CUG03#Mat#chr1	C111-CUG03_Mat	C111-CUG03	Mat	chr1	121676519	139327865	17651346	APG	1	243559865	0
C112-CUG04#Mat#chr1	C112-CUG04_Mat	C112-CUG04	Mat	chr1	121522498	152931932	31409434	APG	1	257326297	0
C113-CUG05#Mat#chr1	C113-CUG05_Mat	C113-CUG05	Mat	chr1	122033521	150467545	28434024	APG	0	254829865	1
C114-CMG01#Mat#chr1	C114-CMG01_Mat	C114-CMG01	Mat	chr1	121813610	137171387	15357777	APG	1	241774382	0
C115-CMG02#Mat#chr1	C115-CMG02_Mat	C115-CMG02	Mat	chr1	122122065	148078797	25956732	APG	1	252443447	0
C116-CMG03#Mat#chr1	C116-CMG03_Mat	C116-CMG03	Mat	chr1	121852321	140566558	18714237	APG	1	245026831	0
C117-CMG04#Mat#chr1	C117-CMG04_Mat	C117-CMG04	Mat	chr1	122031936	141476610	19444674	APG	1	245983206	0
C118-CMG05#Mat#chr1	C118-CMG05_Mat	C118-CMG05	Mat	chr1	122106282	142134180	20027898	APG	1	246545061	0
C119-CKZ01#Mat#chr1	C119-CKZ01_Mat	C119-CKZ01	Mat	chr1	121626492	143808320	22181828	APG	1	248237114	0
C120-CKZ02#Mat#chr1	C120-CKZ02_Mat	C120-CKZ02	Mat	chr1	121981264	143238125	21256861	APG	1	247560753	0
C121-CKZ03#Mat#chr1	C121-CKZ03_Mat	C121-CKZ03	Mat	chr1	121640152	146465370	24825218	APG	1	250950773	0
C122-CKZ04#Mat#chr1	C122-CKZ04_Mat	C122-CKZ04	Mat	chr1	121880977	147901121	26020144	APG	0	252286639	1
C123-CKZ05#Mat#chr1	C123-CKZ05_Mat	C123-CKZ05	Mat	chr1	121811556	144049869	22238313	APG	1	248414587	0
C124-CZH01#Mat#chr1	C124-CZH01_Mat	C124-CZH01	Mat	chr1	121876979	151326002	29449023	APG	1	255744350	0
C125-CZH02#Mat#chr1	C125-CZH02_Mat	C125-CZH02	Mat	chr1	121840713	141354103	19513390	APG	1	245709496	0
C126-CZH03#Mat#chr1	C126-CZH03_Mat	C126-CZH03	Mat	chr1	121642576	140329626	18687050	APG	1	244763423	0
C127-CZH04#Mat#chr1	C127-CZH04_Mat	C127-CZH04	Mat	chr1	121791740	140311928	18520188	APG	1	244712979	0
C128-CZH05#Mat#chr1	C128-CZH05_Mat	C128-CZH05	Mat	chr1	122034210	142673663	20639453	APG	1	247070291	0
C129-CYI01#Mat#chr1	C129-CYI01_Mat	C129-CYI01	Mat	chr1	121518885	138812879	17293994	APG	1	243443097	0
C130-CYI02#Mat#chr1	C130-CYI02_Mat	C130-CYI02	Mat	chr1	121878847	147909464	26030617	APG	1	252224860	0
C131-CYI03#Mat#chr1	C131-CYI03_Mat	C131-CYI03	Mat	chr1	121875899	140476548	18600649	APG	1	244963735	0
C134-CMH01#Mat#chr1	C134-CMH01_Mat	C134-CMH01	Mat	chr1	122034788	150184863	28150075	APG	1	254661688	0
C135-CMH02#Mat#chr1	C135-CMH02_Mat	C135-CMH02	Mat	chr1	121766882	138935260	17168378	APG	1	243266791	0
C136-CMH03#Mat#chr1	C136-CMH03_Mat	C136-CMH03	Mat	chr1	121945526	144993851	23048325	APG	1	249453722	0
C137-CMH04#Mat#chr1	C137-CMH04_Mat	C137-CMH04	Mat	chr1	121342305	150168720	28826415	APG	1	254507327	0
C138-CMH05#Mat#chr1	C138-CMH05_Mat	C138-CMH05	Mat	chr1	121895244	138645387	16750143	APG	1	243149106	0
C139-CBY01#Mat#chr1	C139-CBY01_Mat	C139-CBY01	Mat	chr1	122066881	141149097	19082216	APG	1	245375052	0
C140-CBY02#Mat#chr1	C140-CBY02_Mat	C140-CBY02	Mat	chr1	121541428	142998236	21456808	APG	1	248176334	0
C141-CBY03#Mat#chr1	C141-CBY03_Mat	C141-CBY03	Mat	chr1	121902575	142787515	20884940	APG	1	247318800	0
C142-CHU01#Mat#chr1	C142-CHU01_Mat	C142-CHU01	Mat	chr1	121677993	140645144	18967151	APG	1	244892857	0
C143-CHU02#Mat#chr1	C143-CHU02_Mat	C143-CHU02	Mat	chr1	122177157	143267235	21090078	APG	1	247415921	0
C144-CHU03#Mat#chr1	C144-CHU03_Mat	C144-CHU03	Mat	chr1	121915171	139477066	17561895	APG	1	243774474	0
C145-CMA01#Mat#chr1	C145-CMA01_Mat	C145-CMA01	Mat	chr1	121516848	146442216	24925368	APG	0	250993015	1
C148-CTJ01#Mat#chr1	C148-CTJ01_Mat	C148-CTJ01	Mat	chr1	121923790	141970043	20046253	APG	1	246335592	0
C149-CTJ02#Mat#chr1	C149-CTJ02_Mat	C149-CTJ02	Mat	chr1	121913189	144752270	22839081	APG	0	249125197	1
C150-CTJ03#Mat#chr1	C150-CTJ03_Mat	C150-CTJ03	Mat	chr1	121613696	140794556	19180860	APG	1	245402762	0
C151-CHA-E21#Mat#chr1	C151-CHA-E21_Mat	C151-CHA-E21	Mat	chr1	121871693	135803636	13931943	APG	0	240204981	1
C152-CKZ06#Mat#chr1	C152-CKZ06_Mat	C152-CKZ06	Mat	chr1	121644507	136615885	14971378	APG	1	241020929	0
C153-CHA-S21#Mat#chr1	C153-CHA-S21_Mat	C153-CHA-S21	Mat	chr1	121986035	140188890	18202855	APG	1	244768696	0
C154-CBA01#Mat#chr1	C154-CBA01_Mat	C154-CBA01	Mat	chr1	122004110	143998631	21994521	APG	1	248391614	0
C155-CBA02#Mat#chr1	C155-CBA02_Mat	C155-CBA02	Mat	chr1	121979114	139507487	17528373	APG	1	243697694	0
C156-CBA03#Mat#chr1	C156-CBA03_Mat	C156-CBA03	Mat	chr1	122308039	141569648	19261609	APG	1	245973578	0
KOR01#Mat#chr1	KOR01_Mat	KOR01	Mat	chr1	121646572	145461926	23815354	APG	1	249709072	0
KOR02#Mat#chr1	KOR02_Mat	KOR02	Mat	chr1	122023209	150456120	28432911	APG	1	255059997	0
KOR03#Mat#chr1	KOR03_Mat	KOR03	Mat	chr1	122272742	142495848	20223106	APG	1	246823541	0
KOR04#Mat#chr1	KOR04_Mat	KOR04	Mat	chr1	121782303	154357835	32575532	APG	1	258877178	0
KOR05#Mat#chr1	KOR05_Mat	KOR05	Mat	chr1	121647855	143114182	21466327	APG	1	247360439	0
KOR06#Mat#chr1	KOR06_Mat	KOR06	Mat	chr1	122369572	150803334	28433762	APG	1	255176177	0
KOR07#Mat#chr1	KOR07_Mat	KOR07	Mat	chr1	122116297	149349851	27233554	APG	1	253846801	0
KOR08#Mat#chr1	KOR08_Mat	KOR08	Mat	chr1	121954432	146645562	24691130	APG	1	251205312	0
C001-CHA-E01#Pat#chr1	C001-CHA-E01_Pat	C001-CHA-E01	Pat	chr1	121854580	141112982	19258402	APG	1	245755489	0
C002-CHA-E02#Pat#chr1	C002-CHA-E02_Pat	C002-CHA-E02	Pat	chr1	121599605	141612548	20012943	APG	1	246055965	0
C003-CHA-E03#Pat#chr1	C003-CHA-E03_Pat	C003-CHA-E03	Pat	chr1	121696662	140146256	18449594	APG	1	244517991	0
C004-CHA-E04#Pat#chr1	C004-CHA-E04_Pat	C004-CHA-E04	Pat	chr1	121956298	145559727	23603429	APG	1	250045276	0
C005-CHA-E05#Pat#chr1	C005-CHA-E05_Pat	C005-CHA-E05	Pat	chr1	121838693	142373756	20535063	APG	1	246695021	0
C006-CHA-E06#Pat#chr1	C006-CHA-E06_Pat	C006-CHA-E06	Pat	chr1	122115879	137725734	15609855	APG	0	242201182	1
C007-CHA-E07#Pat#chr1	C007-CHA-E07_Pat	C007-CHA-E07	Pat	chr1	122040659	143864044	21823385	APG	0	248316701	1
C008-CHA-E08#Pat#chr1	C008-CHA-E08_Pat	C008-CHA-E08	Pat	chr1	122292326	142618766	20326440	APG	1	247063874	0
C009-CHA-E09#Pat#chr1	C009-CHA-E09_Pat	C009-CHA-E09	Pat	chr1	122268480	141220526	18952046	APG	1	245700955	0
C010-CHA-E10#Pat#chr1	C010-CHA-E10_Pat	C010-CHA-E10	Pat	chr1	122130397	141002317	18871920	APG	1	245281734	0
C011-CHA-E11#Pat#chr1	C011-CHA-E11_Pat	C011-CHA-E11	Pat	chr1	121898116	137292616	15394500	APG	1	241669848	0
C012-CHA-E12#Pat#chr1	C012-CHA-E12_Pat	C012-CHA-E12	Pat	chr1	121644665	138150823	16506158	APG	1	242657444	0
C013-CHA-E13#Pat#chr1	C013-CHA-E13_Pat	C013-CHA-E13	Pat	chr1	121967461	139134405	17166944	APG	1	243451982	0
C014-CHA-E14#Pat#chr1	C014-CHA-E14_Pat	C014-CHA-E14	Pat	chr1	122093723	140839266	18745543	APG	1	245231735	0
C015-CHA-E15#Pat#chr1	C015-CHA-E15_Pat	C015-CHA-E15	Pat	chr1	121684597	145528129	23843532	APG	1	249809577	0
C016-CHA-E16#Pat#chr1	C016-CHA-E16_Pat	C016-CHA-E16	Pat	chr1	122032867	146779681	24746814	APG	1	251110330	0
C017-CHA-E17#Pat#chr1	C017-CHA-E17_Pat	C017-CHA-E17	Pat	chr1	122196079	142377057	20180978	APG	1	246695984	0
C018-CHA-E18#Pat#chr1	C018-CHA-E18_Pat	C018-CHA-E18	Pat	chr1	121922829	141675432	19752603	APG	1	245900077	0
C019-CHA-E19#Pat#chr1	C019-CHA-E19_Pat	C019-CHA-E19	Pat	chr1	121786501	141758032	19971531	APG	0	246088027	1
C020-CHA-E20#Pat#chr1	C020-CHA-E20_Pat	C020-CHA-E20	Pat	chr1	121721675	140643246	18921571	APG	1	245196047	0
C021-CHA-S01#Pat#chr1	C021-CHA-S01_Pat	C021-CHA-S01	Pat	chr1	122089960	143172737	21082777	APG	0	247782520	1
C021-CHA-S01_2#Pat#chr1	C021-CHA-S01_2_Pat	C021-CHA-S01_2	Pat	chr1	121819305	137935730	16116425	APG	1	242405798	0
C022-CHA-S02#Pat#chr1	C022-CHA-S02_Pat	C022-CHA-S02	Pat	chr1	121836109	147044958	25208849	APG	1	251652828	0
C022-CHA-S02_2#Pat#chr1	C022-CHA-S02_2_Pat	C022-CHA-S02_2	Pat	chr1	121941660	140338004	18396344	APG	0	244653835	1
C023-CHA-S03#Pat#chr1	C023-CHA-S03_Pat	C023-CHA-S03	Pat	chr1	122612904	144437515	21824611	APG	1	253256760	0
C023-CHA-S03_2#Pat#chr1	C023-CHA-S03_2_Pat	C023-CHA-S03_2	Pat	chr1	121805534	139884708	18079174	APG	1	244294131	0
C024-CHA-S04#Pat#chr1	C024-CHA-S04_Pat	C024-CHA-S04	Pat	chr1	121984766	143259678	21274912	APG	1	247690033	0
C024-CHA-S04_2#Pat#chr1	C024-CHA-S04_2_Pat	C024-CHA-S04_2	Pat	chr1	121661475	148011512	26350037	APG	1	252069957	0
C025-CHA-S05#Pat#chr1	C025-CHA-S05_Pat	C025-CHA-S05	Pat	chr1	121520851	146590269	25069418	APG	1	250942742	0
